No.,Scheme,Link,Crop_Type,Farm_Size,Crop_Names,Water_Availability,Annual_Income_of_Farmer,District,,
1,National Food Security Mission (NFSM),https://www.nfsm.gov.in/,Pulses,<=5,Urad,Yes,NA,Solapur,,
2,National Horticulture Mission (NHM),https://hortnet.gov.in/NHMhome_new.aspx,Fruits,<=10,Mango,Yes,<=100000,Raigad,,
3,Integrated Cereals Development Programme,https://www.nfuonline.com/updates-and-information/cereals-development-programme-2023-24-open-for-applications/,Cereals,<=10,Paddy,Yes,NA,All,,orange
4,Oil palm area expansion programme (RKVY),https://vikaspedia.in/health/nutrition/state-missions-and-initiatives-to-promote-millets/initiative-for-nutritional-security-through-intensive-millets-promotion,Oilpalm ,NA,Oilpalm,Yes,NA,Ratnagiri,,orange
5,Intensive for Nutritional Security through Intensive Millets Promotion (INSIMP),https://vikaspedia.in/health/nutrition/state-missions-and-initiatives-to-promote-millets/initiative-for-nutritional-security-through-intensive-millets-promotion,Cereals,<=5,Bajra ,Yes,NA,All,,orange
6,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Soybean,Yes,NA,Amravati,,
7,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Groundnut,Yes,NA,Ahmednagar,,
8,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Sunflower,Yes,NA,Ahmednagar,,
9,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Sesame,Yes,NA,Beed,,
10,Oilseed Production Programme,https://oilseeds.dac.gov.in/mis/Login.aspx,Oilseeds,<=5,Mustard,Yes,NA,Nandurbar,,
11,National Food Security Mission (NFSM),https://www.nfsm.gov.in/,Pulses,<=5,Tur,Yes,NA,Akola,,
12,National Food Security Mission (NFSM),https://www.nfsm.gov.in/,Pulses,<=5,Gram,Yes,NA,Solapur,,
13,National Food Security Mission (NFSM),https://www.nfsm.gov.in/,Pulses,<=5,Moong,Yes,NA,Ahmednagar,,
14,National Horticulture Mission (NHM),https://hortnet.gov.in/NHMhome_new.aspx,Fruits,<=10,Grapes,Yes,<=100000,Nashik,,
15,National Horticulture Mission (NHM),https://hortnet.gov.in/NHMhome_new.aspx,Fruits,<=10,Banana,Yes,<=100000,Jalgaon,,
16,National Horticulture Mission (NHM),https://hortnet.gov.in/NHMhome_new.aspx,Fruits,<=10,Orange,Yes,<=100000,Amravati,,
17,National Horticulture Mission (NHM),https://hortnet.gov.in/NHMhome_new.aspx,Fruits,<=10,Guava,Yes,<=100000,Jalgaon,,
18,National Horticulture Mission (NHM),https://hortnet.gov.in/NHMhome_new.aspx,Fruits,<=10,Pomegranate,Yes,<=100000,Nashik,,
19,Nanaji Deshmukh Krishi Sanjeevani Prakalp (Project on Climate Resilient Agriculture - POCRA),https://mahapocra.gov.in/,Fruits,<=13,Banana,Yes,<=150000,Akola,,
